index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
6990,SSX On Tour,PSP,PSP,2005,E,Sports,Electronic Arts,EA Canada,0.19,0.02,0,0.02,0.23,80,27,7.5,14
6990,SSX On Tour,PSP,PSP,2005,E,Sports,Electronic Arts,EA Montreal,0.19,0.02,0,0.02,0.23,79,23,8.1,44
6990,SSX On Tour,PSP,PSP,2005,E,Sports,Electronic Arts,EA Canada,0.19,0.02,0,0.02,0.23,80,41,7.9,26
6998,The Club,PS3,PS3,2008,M,Shooter,Sega,Bizarre Creations,0.14,0.07,0,0.03,0.23,72,42,6.5,15
6998,The Club,PS3,PS3,2008,M,Shooter,Sega,Bizarre Creations,0.14,0.07,0,0.03,0.23,76,63,6.8,43
7000,Jeremy McGrath Supercross World,PS2,PS2,2001,E,Racing,Acclaim Entertainment,Acclaim,0.11,0.09,0,0.03,0.23,36,14,5.6,5
7000,Jeremy McGrath Supercross World,PS2,PS2,2001,T,Racing,Acclaim Entertainment,Acclaim,0.11,0.09,0,0.03,0.23,35,9,3.4,16
7011,Tom Clancy's Splinter Cell,GC,GC,2003,T,Action,Ubisoft,Ubisoft Montreal,0.18,0.05,0,0.01,0.23,77,21,8.6,8
7011,Tom Clancy's Splinter Cell,GC,GC,2003,T,Action,Ubisoft,Ubisoft Shanghai,0.18,0.05,0,0.01,0.23,89,19,8.7,25
7015,ESPN NHL Hockey,PS2,PS2,2003,E,Sports,Sega,Kush Games,0.11,0.09,0,0.03,0.23,88,25,8.4,24
7015,ESPN NHL Hockey,PS2,PS2,2003,E,Sports,Sega,Kush Games,0.11,0.09,0,0.03,0.23,90,19,7,22
7021,Skylanders: SuperChargers,XOne,XOne,2015,E10+,Action,Activision,Vicarious Visions,0.16,0.05,0,0.02,0.23,\N,\N,\N,\N
7021,Skylanders: SuperChargers,XOne,XOne,2015,,Action,Activision,,0.16,0.05,0,0.02,0.23,\N,\N,\N,\N
7021,Skylanders: SuperChargers,XOne,XOne,2015,E10+,Action,Activision,Vicarious Visions,0.16,0.05,0,0.02,0.23,76,15,5.5,17
7021,Skylanders: SuperChargers,XOne,XOne,2015,E10+,Action,Activision,Vicarious Visions,0.16,0.05,0,0.02,0.23,81,51,3.3,29
7021,Skylanders: SuperChargers,XOne,XOne,2015,E10+,Action,Activision,Vicarious Visions,0.16,0.05,0,0.02,0.23,\N,\N,4.2,6
7021,Skylanders: SuperChargers,XOne,XOne,2015,E10+,Action,Activision,Vicarious Visions,0.16,0.05,0,0.02,0.23,\N,\N,5.4,5
7021,Skylanders: SuperChargers,XOne,XOne,2015,E10+,Action,Activision,Vicarious Visions,0.16,0.05,0,0.02,0.23,87,13,5.6,65
7022,Gundam Battle Assault,PS,PS,1998,T,Fighting,Namco Bandai Games,Natsume,0.13,0.09,0,0.02,0.23,61,4,7.8,4
